                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1405,                 1.2856,                 1.3573,                0.55222,                0.47781,                0.47641,                0.30396,                 1.2727,                 1.7409,                 1.5174,               0.006964,               0.006964,               0.006964
                     48,                 1.1346,                 1.2763,                 1.3538,                0.56061,                0.47115,                0.47619,                0.30399,                 1.2696,                 1.7401,                 1.5123,               0.006898,               0.006898,               0.006898
                     49,                 1.1343,                  1.269,                 1.3491,                0.55621,                0.47576,                0.47612,                0.30341,                 1.2674,                 1.7429,                 1.5071,               0.006832,               0.006832,               0.006832
                     50,                   1.13,                 1.2578,                 1.3403,                0.55288,                 0.4791,                0.47502,                0.30339,                 1.2676,                 1.7452,                 1.5042,               0.006766,               0.006766,               0.006766
                     51,                 1.1291,                 1.2592,                 1.3381,                0.54428,                0.48371,                0.47519,                0.30338,                 1.2682,                 1.7455,                 1.5015,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.1189,                 1.2448,                 1.3296,                0.57242,                0.46559,                 0.4748,                0.30379,                 1.2668,                 1.7449,                 1.4991,               0.006634,               0.006634,               0.006634
                     53,                 1.1174,                 1.2424,                 1.3266,                0.57862,                0.46311,                0.47384,                0.30386,                 1.2671,                 1.7448,                 1.4983,               0.006568,               0.006568,               0.006568
                     54,                 1.1108,                 1.2257,                  1.319,                0.57576,                0.46217,                0.47312,                0.30409,                 1.2667,                 1.7461,                 1.4959,               0.006502,               0.006502,               0.006502
                     55,                 1.1115,                 1.2255,                  1.318,                0.58057,                0.45884,                0.47323,                 0.3043,                 1.2648,                 1.7464,                 1.4937,               0.006436,               0.006436,               0.006436
                     56,                 1.1066,                 1.2143,                 1.3115,                0.57962,                0.45884,                0.47327,                0.30529,                 1.2621,                 1.7444,                 1.4894,                0.00637,                0.00637,                0.00637
                     57,                 1.1054,                 1.2082,                 1.3095,                0.58319,                0.46037,                0.47364,                0.30573,                 1.2607,                 1.7441,                 1.4861,               0.006304,               0.006304,               0.006304
                     58,                 1.0983,                 1.2073,                  1.305,                0.58299,                0.46166,                0.47445,                 0.3073,                 1.2591,                 1.7402,                 1.4834,               0.006238,               0.006238,               0.006238
                     59,                 1.0956,                  1.197,                  1.302,                 0.5823,                0.46123,                0.47498,                0.30826,                 1.2571,                 1.7385,                  1.481,               0.006172,               0.006172,               0.006172
                     60,                 1.0919,                  1.196,                 1.2962,                0.57754,                0.46063,                0.47432,                0.30788,                 1.2557,                 1.7419,                 1.4783,               0.006106,               0.006106,               0.006106
                     61,                 1.0855,                 1.1814,                 1.2901,                0.58477,                0.45961,                0.47574,                0.30867,                 1.2571,                 1.7433,                  1.479,                0.00604,                0.00604,                0.00604
                     62,                 1.0854,                 1.1765,                 1.2877,                0.58282,                0.46222,                0.47623,                 0.3099,                 1.2539,                 1.7425,                 1.4742,               0.005974,               0.005974,               0.005974
                     63,                 1.0809,                 1.1709,                 1.2824,                0.58026,                0.46884,                0.47558,                0.30955,                 1.2539,                 1.7451,                 1.4717,               0.005908,               0.005908,               0.005908
                     64,                 1.0775,                  1.168,                 1.2813,                0.57525,                0.47576,                0.47558,                 0.3098,                 1.2549,                 1.7458,                 1.4702,               0.005842,               0.005842,               0.005842
                     65,                 1.0767,                 1.1585,                 1.2738,                0.58792,                0.46704,                0.47473,                0.30939,                 1.2542,                 1.7463,                 1.4674,               0.005776,               0.005776,               0.005776
                     66,                 1.0714,                 1.1528,                  1.269,                0.58979,                0.46131,                0.47438,                0.30942,                  1.253,                 1.7479,                 1.4647,                0.00571,                0.00571,                0.00571
                     67,                 1.0703,                 1.1476,                 1.2694,                0.58575,                0.46348,                0.47406,                0.30902,                 1.2545,                 1.7469,                 1.4641,               0.005644,               0.005644,               0.005644
                     68,                 1.0684,                 1.1423,                  1.265,                0.58061,                0.46525,                0.47282,                0.30857,                 1.2554,                 1.7473,                 1.4642,               0.005578,               0.005578,               0.005578
                     69,                 1.0504,                 1.1103,                 1.2644,                0.57793,                0.46532,                0.47214,                0.30844,                  1.255,                 1.7477,                 1.4648,               0.005512,               0.005512,               0.005512
                     70,                 1.0644,                 1.1412,                 1.2717,                0.57579,                0.46543,                0.47163,                0.30918,                  1.253,                 1.7442,                  1.464,               0.005446,               0.005446,               0.005446
                     71,                 1.0627,                 1.1421,                 1.2693,                0.57037,                0.47022,                 0.4726,                0.31086,                 1.2514,                 1.7406,                 1.4626,                0.00538,                0.00538,                0.00538
                     72,                 1.0614,                 1.1302,                 1.2666,                0.57279,                0.46653,                0.47369,                0.31257,                 1.2491,                 1.7349,                 1.4622,               0.005314,               0.005314,               0.005314
                     73,                 1.0557,                 1.1251,                 1.2595,                0.57336,                0.46499,                0.47633,                0.31399,                 1.2488,                 1.7326,                 1.4621,               0.005248,               0.005248,               0.005248
                     74,                 1.0572,                 1.1266,                 1.2594,                0.58142,                0.46099,                0.47752,                0.31467,                 1.2486,                 1.7323,                 1.4612,               0.005182,               0.005182,               0.005182
                     75,                  1.056,                 1.1225,                 1.2571,                0.58637,                0.45884,                0.47836,                0.31611,                 1.2494,                 1.7324,                 1.4616,               0.005116,               0.005116,               0.005116
                     76,                 1.0483,                 1.1101,                 1.2509,                0.57966,                0.45858,                0.47983,                0.31718,                 1.2522,                 1.7307,                 1.4635,                0.00505,                0.00505,                0.00505
                     77,                 1.0487,                 1.1075,                 1.2482,                0.56316,                0.47192,                0.48152,                0.31854,                 1.2541,                 1.7258,                 1.4647,               0.004984,               0.004984,               0.004984
                     78,                 1.0462,                 1.1044,                 1.2474,                0.58357,                0.45807,                0.48218,                0.31998,                 1.2537,                 1.7267,                 1.4637,               0.004918,               0.004918,               0.004918
                     79,                  1.043,                  1.094,                 1.2405,                0.58815,                0.45499,                 0.4834,                0.32124,                 1.2543,                 1.7294,                 1.4634,               0.004852,               0.004852,               0.004852
                     80,                0.99786,                 1.0203,                 1.2183,                0.56922,                0.46499,                0.48263,                0.32061,                 1.2571,                 1.7324,                 1.4662,               0.004786,               0.004786,               0.004786
                     81,                  1.018,                 1.0557,                 1.2323,                0.57123,                0.45924,                0.48027,                 0.3193,                 1.2597,                 1.7353,                 1.4683,                0.00472,                0.00472,                0.00472
                     82,                 1.0189,                 1.0645,                 1.2318,                0.55876,                0.46781,                0.47948,                0.31957,                 1.2593,                 1.7362,                 1.4675,               0.004654,               0.004654,               0.004654
                     83,                 1.0218,                 1.0626,                 1.2318,                0.56211,                0.46627,                0.47831,                0.31964,                 1.2596,                 1.7399,                 1.4678,               0.004588,               0.004588,               0.004588
                     84,                 1.0177,                 1.0613,                 1.2295,                0.57654,                0.45653,                0.47836,                0.31914,                 1.2602,                 1.7414,                 1.4682,               0.004522,               0.004522,               0.004522
                     85,                 1.0217,                 1.0635,                 1.2303,                0.55843,                0.46986,                0.47845,                0.31898,                 1.2616,                 1.7436,                  1.469,               0.004456,               0.004456,               0.004456
                     86,                 1.0209,                 1.0607,                 1.2269,                0.55305,                0.47254,                0.47891,                0.31837,                 1.2625,                 1.7476,                 1.4687,                0.00439,                0.00439,                0.00439
                     87,                0.96135,                 0.9614,                 1.1932,                0.55924,                0.46756,                0.47681,                0.31731,                 1.2668,                  1.754,                  1.473,               0.004324,               0.004324,               0.004324
                     88,                0.98826,                 1.0058,                 1.2089,                0.56227,                0.46683,                0.47642,                0.31717,                 1.2684,                 1.7566,                 1.4745,               0.004258,               0.004258,               0.004258
                     89,                0.99258,                 1.0177,                 1.2109,                0.57902,                0.45653,                0.47735,                0.31682,                 1.2695,                  1.757,                 1.4753,               0.004192,               0.004192,               0.004192
